,Provincia,Partido,Localidad,Poblacion,ADSL,Cable-Modem,Dialup,Fibra Optica,Satelital,Wireless,Telefonia Fija,3G,4G
228,Catamarca,Ambato,Los Varela,443,No,No,No,No,Si,No,No,No,Si
229,Catamarca,Ambato,Singuil,295,No,No,No,No,No,No,No,No,Si
230,Catamarca,Ancasti,Ancasti,361,No,No,No,No,Si,No,No,No,Si
231,Catamarca,Ancasti,Anquincila,202,No,No,No,No,No,No,No,No,No
232,Catamarca,Ancasti,La Candelaria,77,No,No,No,No,No,No,No,No,No
233,Catamarca,Ancasti,La Majada,154,No,No,No,No,No,No,No,No,No
234,Catamarca,Andalgala,Aconquija,0,No,No,No,No,Si,No,No,Si,Si
235,Catamarca,Andalgala,Alto De Las Juntas,0,No,No,No,No,No,No,No,No,No
236,Catamarca,Andalgala,Amanao,29,No,No,No,No,No,No,No,Si,No
237,Catamarca,Andalgala,Andalgala,12600,Si,No,No,No,Si,Si,Si,Si,Si
238,Caba,Comuna 10,Monte Castro,33623,Si,Si,Si,Si,Si,Si,Si,Si,Si
239,Cordoba,Santa Maria,Malagueño,7136,Si,No,No,Si,No,Si,Si,Si,Si
240,Cordoba,Santa Maria,Mi Valle,0,No,No,No,No,No,No,No,No,No
241,Cordoba,Santa Maria,Milenica,0,No,No,No,No,No,No,No,Si,Si
242,Cordoba,Santa Maria,Monte Ralo,518,No,No,No,No,No,Si,No,Si,Si
243,Cordoba,Santa Maria,Potrero De Garay,1017,No,No,No,Si,No,Si,Si,Si,Si
244,Cordoba,Santa Maria,Rafael Garcia,555,No,No,No,No,No,Si,Si,No,Si
245,Cordoba,Santa Maria,San Clemente,134,No,No,No,Si,No,No,Si,Si,Si
246,Caba,Comuna 15,Villa Crespo,81959,Si,Si,Si,Si,Si,Si,Si,Si,Si
247,Formosa,Patiño,Villa General Manuel Belgrano,4676,No,No,No,Si,No,Si,Si,No,Si
248,Formosa,Pilagas,Buena Vista,887,No,No,No,Si,No,Si,Si,No,Si
